"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Farm ATV","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Industrial vehicles","Petrol",161,156,211,227,249,216,243,260,234,211,244,274,296,464,480,481,437
"Switzerland","> Industrial vehicles","Diesel",2645,2912,2935,3229,3162,3153,3497,3889,3806,3583,3703,3620,3530,3760,3834,3605,3685
"Switzerland","> Industrial vehicles","Petrol-electricity: conventional hybrid",0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,1,3
"Switzerland","> Industrial vehicles","Petrol-electricity: plug-in hybrid",0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"Switzerland","> Industrial vehicles","Diesel-electricity: conventional hybrid",0,0,1,1,2,0,0,1,0,0,1,3,0,0,2,2,3
"Switzerland","> Industrial vehicles","Diesel-electricity: plug-in hybrid",0,0,0,3,2,0,1,1,0,1,0,3,0,3,0,0,0
"Switzerland","> Industrial vehicles","Electricity",136,145,172,217,169,189,244,235,226,268,243,293,288,352,376,406,584
"Switzerland","> Industrial vehicles","Hydrogen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Industrial vehicles","Gas (monovalent and bivalent)",8,7,9,14,16,17,20,17,18,20,22,13,12,11,7,10,8
"Switzerland","> Industrial vehicles","Other",62,21,23,2,3,0,0,0,0,3,0,1,0,1,0,0,0
"Switzerland","> Industrial vehicles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Petrol",1,0,0,0,0,0,0,2,9,13,17,36,64,235,256,303,263
"Switzerland","... Tow tractor","Diesel",154,183,135,116,179,161,207,247,321,259,309,309,309,316,336,324,379
