,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-04-08,5951.0,5868.05,5895.39,5788.78,6125.07,6758.86,7274.53,7545.22,7453.42,7448.47,7428.1,7024.16,6958.72,6751.63,6601.26,6454.54,6286.62,6339.01,6350.73,6605.1,6561.97,6358.04,6068.25,5665.77
2015-04-09,5603.22,5633.91,5571.38,5474.82,5872.59,6477.6,7005.06,7246.34,7149.61,7211.44,7212.93,6840.75,6814.16,6570.22,6453.27,6311.03,6179.05,6171.8,6174.49,6441.26,6379.62,6189.28,5746.2,4684.38
2015-04-10,4619.29,4519.6,4583.36,4666.16,4949.73,5309.14,5768.02,6015.87,5964.56,6015.66,6048.24,5743.44,5735.9,5568.3,5385.7,5200.83,5140.3,7168.72,5047.42,5141.41,5053.64,4909.8,4756.84,4792.2
2015-04-11,4599.49,4675.74,4676.17,4538.19,4669.7,4798.71,4906.55,5075.99,5317.96,5453.5,5559.41,5465.61,5437.49,5384.26,5320.82,5226.0,5281.46,5205.97,4924.52,5030.19,4964.64,4894.62,5363.61,5026.7
2015-04-12,4900.42,5024.21,5062.85,5010.93,5054.38,5007.72,4854.78,5007.21,5176.36,5242.57,5282.68,5297.92,5150.31,4999.01,4873.67,4872.08,5012.53,5259.28,5385.32,5625.4,5744.74,5517.1,5471.76,5226.59
2015-04-13,4917.97,5113.39,5152.23,5178.37,5455.1,6102.91,6670.28,6964.18,6965.92,7028.41,7144.01,6718.82,6731.88,6611.58,6466.47,6336.25,6154.55,6173.83,6093.36,6251.88,6258.11,5953.01,5683.04,5316.91
2015-04-14,5145.99,5030.12,5183.33,5088.47,5371.12,6105.45,6679.32,7001.46,6933.82,7010.25,7138.91,6632.84,6668.06,6566.3,6410.56,6259.22,6097.59,6131.86,5995.43,6150.93,6178.44,5975.81,5659.58,5190.87
2015-04-15,5224.26,5188.76,5231.03,5196.36,5689.01,6154.48,6667.31,6975.72,6913.03,6942.93,7064.24,6622.81,6621.17,6485.41,6332.3,6203.95,6080.24,6119.14,5968.18,6108.83,6167.73,5902.67,5630.86,5146.0
2015-04-16,5206.11,5167.57,5133.09,5032.23,5480.69,5977.5,6500.16,6841.23,6879.94,6963.26,7099.18,6655.85,6702.38,6597.36,6513.15,6426.44,6322.53,6384.69,6257.28,6210.95,6082.27,5773.6,5573.47,4779.23
2015-04-17,4585.53,4523.29,4747.11,4641.89,4812.92,5512.05,6133.8,6620.56,6747.92,6908.93,7061.56,6673.41,6361.0,5988.18,5859.24,5665.5,5630.59,5678.28,5561.34,5466.38,5285.74,5136.15,4993.22,4680.69
2015-04-18,4676.38,4650.86,4698.08,4516.1,4533.28,4668.09,4800.02,4873.95,5209.51,5345.71,5452.88,5366.42,5273.73,5238.47,5111.29,5047.67,5041.4,5023.06,4870.62,4893.31,4910.56,4849.83,5623.41,5451.99
