Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,... Delivery vehicle,Before 1960,Electricity,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2
Switzerland,... Delivery vehicle,Before 1960,Other,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2,2,2,18,44,57,55,53,52,49,44,43,39,36,35,32,36
Switzerland,... Delivery vehicle,Before 1960,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,1960 - 1979,Petrol,21544,17646,14079,11504,10009,10619,9409,8361,7563,6991,6363,5846,5404,5105,4930,4737,4269,4032,3761,3366,3190,3111,3065,2923,2933,2950,2909,2899,2907,2913,2914,2956
Switzerland,... Delivery vehicle,1960 - 1979,Diesel,3160,2762,2386,2077,1886,1721,1477,1311,1163,1046,919,811,738,655,587,563,546,539,589,550,451,407,362,330,294,274,254,243,235,230,231,234
Switzerland,... Delivery vehicle,1960 - 1979,Electricity,9,8,7,6,6,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Switzerland,... Delivery vehicle,1960 - 1979,Other,2,1,2,4,5,9,9,5,4,2,2,3,0,2,1,18,16,14,98,174,230,231,236,226,215,195,174,151,140,134,127,121
Switzerland,... Delivery vehicle,1960 - 1979,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,1980 - 1989,Petrol,119920,113098,104708,97085,90308,83628,75807,67685,59891,53063,44943,37554,31710,26550,22745,19705,16318,13938,11113,8629,7271,6337,5505,4673,4093,3669,3304,3053,2828,2582,2452,2354
Switzerland,... Delivery vehicle,1980 - 1989,Diesel,35754,34255,32373,30371,28632,27070,24938,22680,20628,18704,16343,14176,12279,10626,9535,8764,7377,6434,5533,4603,3801,3229,2718,2241,1892,1630,1428,1290,1172,1056,952,887
Switzerland,... Delivery vehicle,1980 - 1989,Electricity,7,7,10,8,7,6,6,4,4,4,3,3,3,2,3,4,2,2,3,2,2,2,2,2,2,2,2,3,4,4,4,4
