Date,Month,Year,SensedHourlyLoadData_1,SensedHourlyLoadData_2,SensedHourlyLoadData_3,SensedHourlyLoadData_4,SensedHourlyLoadData_5,SensedHourlyLoadData_6,SensedHourlyLoadData_7,SensedHourlyLoadData_8,SensedHourlyLoadData_9,SensedHourlyLoadData_10,SensedHourlyLoadData_11,SensedHourlyLoadData_12,SensedHourlyLoadData_13,SensedHourlyLoadData_14,SensedHourlyLoadData_15,SensedHourlyLoadData_16,SensedHourlyLoadData_17,SensedHourlyLoadData_18,SensedHourlyLoadData_19,SensedHourlyLoadData_20,SensedHourlyLoadData_21,SensedHourlyLoadData_22,SensedHourlyLoadData_23,SensedHourlyLoadData_24
20,5,2015,11699,11015,10680,10549,10605,10842,11781,13505,14672,15156,15237,15294,15199,15213,15077,14992,14977,15040,14466,14115,13724,13504,13371,12613
21,5,2015,11660,11008,10672,10588,10640,10786,11744,13538,14664,15031,15099,15118,15052,15020,14930,14864,14911,14924,14503,14236,13969,13748,13497,12687
22,5,2015,11723,11038,10719,10586,10617,10835,11784,13505,14791,15339,15332,15298,15118,15168,15061,14901,14884,14892,14428,14020,13690,13440,13202,12532
23,5,2015,11675,10978,10620,10409,10366,10249,10477,11269,12325,13208,13570,13597,13400,13028,12670,12399,12344,12578,12612,12485,12265,12063,12261,11683
24,5,2015,11058,10391,10020,9857,9807,9543,9476,9756,10291,10807,11054,11117,11107,10946,10691,10577,10752,11346,11777,11925,11952,11957,12051,11461
25,5,2015,10754,10229,9966,9843,9820,9756,9870,10282,10945,11617,11998,12196,12278,12209,12049,11948,12071,12660,12760,12604,12468,12404,12428,11685
26,5,2015,10924,10389,10201,10130,10209,10436,11546,13401,14719,15314,15418,15451,15324,15271,15187,15103,15070,15132,14589,14237,13825,13501,13403,12580
27,5,2015,11668,11021,10737,10612,10612,10792,11776,13532,14791,15311,15341,15422,15349,15371,15209,15078,15004,15066,14378,14019,13704,13480,13396,12627
28,5,2015,11672,11040,10724,10626,10646,10818,11791,13578,14911,15528,15702,15731,15527,15409,15280,15110,14934,15016,14510,14222,13859,13388,13272,12579
29,5,2015,11703,11044,10723,10676,10692,10807,11801,13470,14749,15339,15465,15537,15412,15481,15394,15278,15277,15317,14856,14427,13958,13523,13242,12549
30,5,2015,11659,10921,10538,10325,10221,10047,10354,11047,12011,12886,13257,13271,13058,12744,12442,12199,12162,12481,12549,12379,12145,11943,12160,11702
31,5,2015,10976,10412,10034,9844,9775,9540,9523,9880,10587,11337,11841,12194,12468,12447,12478,12395,12499,12985,13104,13041,12847,12652,12474,11701
1,6,2015,10975,10481,10303,10254,10303,10461,11565,13277,14587,15034,15167,15239,15054,15156,14947,14838,14851,14924,14423,14135,13716,13464,13268,12473
2,6,2015,11582,10964,10684,10533,10549,10701,11749,13637,14998,15678,15914,16092,15987,15989,15919,15830,15824,15793,15119,14648,14206,13758,13440,12653
3,6,2015,11741,11094,10778,10639,10629,10718,11737,13520,14791,15339,15467,15520,15380,15437,15268,15086,15036,15071,14425,14043,13685,13336,13339,12743
4,6,2015,11784,11110,10742,10615,10607,10716,11775,13525,14779,15270,15321,15324,15128,15189,15099,15102,15130,15119,14621,14356,14016,13517,13450,12873
5,6,2015,11936,11277,10916,10795,10757,10820,11749,13446,14782,15526,15722,15850,15676,15680,15648,15449,15382,15424,15051,14690,14266,13681,13270,12630
6,6,2015,11739,11051,10652,10480,10377,10171,10338,11004,11856,12659,12924,12872,12687,12391,12170,11988,12067,12377,12447,12353,12248,11967,12063,11680
7,6,2015,11043,10455,10123,9927,9827,9516,9511,9868,10461,11078,11386,11627,11736,11562,11344,11230,11371,11892,12174,12242,12147,11871,12062,11569
8,6,2015,10955,10481,10276,10180,10247,10386,11472,13093,14495,14990,15104,15179,15010,15088,14962,14843,14842,14889,14328,13987,13607,13170,13126,12471
